City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
108,Zeya,RU,53.75,127.27,-12.24,77,45,3.44,scattered clouds,2021-01-05 06:17:06
109,Gander,CA,48.97,-54.59,24.8,85,90,12.75,overcast clouds,2021-01-05 06:17:06
110,Uklana Mandi,IN,29.5,75.88,71.96,54,84,15.35,light rain,2021-01-05 06:17:07
111,Kingsland,US,30.8,-81.69,46.4,87,1,6.93,clear sky,2021-01-05 06:15:05
112,Altay,CN,47.87,88.12,0.73,71,0,1.3,clear sky,2021-01-05 06:17:07
113,Yarada,IN,17.65,83.27,82.4,58,72,4.7,haze,2021-01-05 06:17:08
114,Albany,US,42.6,-73.97,33.01,87,100,2.33,overcast clouds,2021-01-05 06:17:08
115,Taseyevo,RU,57.22,94.9,-18.99,85,41,8.55,scattered clouds,2021-01-05 06:17:09
116,Bluff,NZ,-46.6,168.33,62.01,75,74,1.99,broken clouds,2021-01-05 06:17:09
117,Longyearbyen,SJ,78.22,15.64,28.4,92,90,47.2,heavy snow,2021-01-05 06:15:19
118,Nioro,GM,13.35,-15.75,71.53,26,4,6.98,clear sky,2021-01-05 06:17:09
119,Pisco,PE,-13.7,-76.22,68.0,88,0,9.17,clear sky,2021-01-05 06:17:10
120,Nome,US,64.5,-165.41,-0.4,59,90,12.75,overcast clouds,2021-01-05 06:13:16
121,Santa Rosa,PH,14.31,121.11,84.2,74,75,6.93,light rain,2021-01-05 06:17:10
122,Beloha,MG,-25.17,45.05,85.6,52,23,7.02,few clouds,2021-01-05 06:17:10
123,Erechim,BR,-27.63,-52.27,62.08,96,96,3.38,light rain,2021-01-05 06:17:11
124,Barrow,US,71.29,-156.79,-20.2,82,90,5.82,mist,2021-01-05 06:16:00
125,Mangrol,IN,21.12,70.12,73.58,38,0,13.02,clear sky,2021-01-05 06:17:11
126,Mar Del Plata,AR,-38.0,-57.56,66.2,100,90,11.41,mist,2021-01-05 06:12:32
127,Torbay,CA,47.67,-52.73,32.0,100,90,17.22,light snow,2021-01-05 06:17:12
128,Strezhevoy,RU,60.73,77.59,-23.8,74,0,4.47,clear sky,2021-01-05 06:14:15
129,Marsh Harbour,BS,26.54,-77.06,71.08,61,100,12.03,overcast clouds,2021-01-05 06:17:12
130,Pemangkat,ID,1.17,108.97,82.78,69,100,2.86,heavy intensity rain,2021-01-05 06:17:12
131,Bom Jesus,BR,-9.07,-44.36,71.69,80,16,1.54,few clouds,2021-01-05 06:17:13
132,Siocon,PH,7.71,122.14,84.38,74,99,10.18,light rain,2021-01-05 06:17:13
133,Bonthe,SL,7.53,-12.51,78.76,85,32,5.48,scattered clouds,2021-01-05 06:17:13
134,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,76.39,81,39,7.96,scattered clouds,2021-01-05 06:17:13
135,Novyy Urgal,RU,51.07,132.56,-21.33,80,45,0.96,scattered clouds,2021-01-05 06:17:13
136,Caconda,AO,-13.73,15.07,59.2,69,90,5.17,overcast clouds,2021-01-05 06:17:13
137,Norman Wells,CA,65.28,-126.83,-5.8,63,20,20.8,few clouds,2021-01-05 06:17:14
138,Lorengau,PG,-2.02,147.27,86.22,68,99,12.8,overcast clouds,2021-01-05 06:17:14
139,Atambua,ID,-9.11,124.89,82.9,72,88,5.17,light rain,2021-01-05 06:15:13
140,Manaus,BR,-3.1,-60.02,77.0,88,0,1.45,clear sky,2021-01-05 06:14:02
141,Bethel,US,41.37,-73.41,30.99,92,75,3.22,broken clouds,2021-01-05 06:16:57
142,Nalut,LY,30.33,10.85,42.51,55,74,8.23,broken clouds,2021-01-05 06:17:15
143,Hauterive,FR,46.09,3.45,32.0,92,90,3.36,overcast clouds,2021-01-05 06:17:15
144,Khasan,RU,42.43,130.64,13.68,75,0,19.95,clear sky,2021-01-05 06:17:15
145,Kodiak,US,57.79,-152.41,38.91,95,100,17.13,light rain,2021-01-05 06:17:15
