City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
585,Kapoeta,SS,85.15,clear sky,4.77,33.59,Eastgate Hotel
589,Olinda,BR,77.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
596,Lom Sak,TH,86.0,clear sky,16.78,101.24,บ้านวรฉัตร หล่มสัก
599,Totness,SR,75.87,light rain,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
603,Seka,TH,87.01,broken clouds,17.93,103.96,โรงแรมเสาวลักษณ์วิลล่า
606,Ghanzi,BW,75.79,broken clouds,-21.57,21.78,Ghanzi Farmhouse
610,Shwebo,MM,82.89,overcast clouds,22.57,95.7,MOON SHINE Guest House
615,Cabedelo,BR,75.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
621,Teluknaga,ID,86.0,broken clouds,-6.1,106.64,Bale Ocasa hotel
622,Sorong,ID,83.88,light rain,-0.88,131.25,The Waigo Hotel
625,Sawtell,AU,77.0,scattered clouds,-30.38,153.1,Island Beach House Sawtell
627,Forbes,AU,84.99,broken clouds,-33.38,148.02,Lake Forbes Motel
634,Langsa,ID,83.12,moderate rain,4.47,97.97,OYO 2964 Hotel Ridho
635,Gladstone,AU,86.0,scattered clouds,-23.85,151.25,Highpoint International
637,Corrientes,AR,77.0,clear sky,-27.48,-58.83,Gran Hotel Guaraní
641,Vung Tau,VN,80.22,overcast clouds,10.35,107.08,Seaside Resort
642,Boa Vista,BR,78.8,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
644,Rock Sound,BS,75.15,clear sky,24.9,-76.2,Rock Sound Club
650,Kismayo,SO,81.18,scattered clouds,-0.36,42.55,Agan-Hotel
651,Puerto Escondido,MX,76.37,light rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
654,Narsimhapur,IN,79.03,overcast clouds,22.95,79.2,STARiHOTELS Narsinghpur
660,Sawakin,SD,78.6,light rain,19.11,37.33,فندق الدويم
664,Netrakona,BD,79.97,overcast clouds,24.88,90.72,kurpar gas office
670,Vangaindrano,MG,79.99,light rain,-23.35,47.6,Hotel Fanilo
683,Dingle,PH,82.78,overcast clouds,11.0,122.67,SEGAYA PROPERTY
689,Singapore,SG,87.8,scattered clouds,1.29,103.85,The Fullerton Hotel Singapore
696,Calamar,CO,77.0,scattered clouds,10.25,-74.91,Hostal Katyalex
