City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Longyearbyen,SJ,2021-01-02 00:50:48,78.22,15.64,37.4,59,40,23.04
104,Vila Franca Do Campo,PT,2021-01-02 00:50:48,37.72,-25.43,57.2,71,75,13.87
105,Znamenskoye,RU,2021-01-02 00:50:48,57.13,73.83,-25.76,85,43,3.02
106,Poum,NC,2021-01-02 00:50:48,-20.23,164.02,81.27,81,100,13.8
107,Nanortalik,GL,2021-01-02 00:50:49,60.14,-45.24,30.54,96,99,18.43
108,Nome,US,2021-01-02 00:50:49,64.5,-165.41,24.8,68,40,12.75
109,Bluff,NZ,2021-01-02 00:50:49,-46.6,168.33,57.0,88,83,10.0
110,Cape Town,ZA,2021-01-02 00:47:54,-33.93,18.42,64.0,62,0,4.7
111,Chuy,UY,2021-01-02 00:50:50,-33.7,-53.46,63.18,76,100,6.15
112,Harper,LR,2021-01-02 00:50:50,4.38,-7.72,79.05,85,19,8.28
113,Constantine,DZ,2021-01-02 00:50:50,36.37,6.61,41.0,60,20,16.11
114,Bengkulu,ID,2021-01-02 00:50:42,-3.8,102.27,79.72,74,100,5.01
115,Ayan,RU,2021-01-02 00:50:51,56.45,138.17,-17.63,75,14,14.09
116,Provideniya,RU,2021-01-02 00:50:51,64.38,-173.3,17.29,95,100,21.45
117,Lubbock,US,2021-01-02 00:49:32,33.6,-101.83,44.6,24,90,5.82
118,Nikolskoye,RU,2021-01-02 00:50:51,59.7,30.79,33.01,98,90,4.47
119,Samarai,PG,2021-01-02 00:50:52,-10.62,150.67,86.4,72,91,16.17
120,Abalak,RU,2021-01-02 00:50:52,58.13,68.59,-28.52,85,0,1.92
121,Kaitangata,NZ,2021-01-02 00:50:52,-46.28,169.85,57.99,84,100,21.0
122,Nelson Bay,AU,2021-01-02 00:50:52,-32.72,152.15,72.0,94,90,12.75
123,Thompson,CA,2021-01-02 00:50:52,55.74,-97.86,8.6,92,90,3.02
124,Qaanaaq,GL,2021-01-02 00:50:53,77.48,-69.36,-2.49,81,100,0.65
125,Rocha,UY,2021-01-02 00:50:53,-34.48,-54.33,58.01,87,100,2.24
126,Manta,EC,2021-01-02 00:50:53,-0.95,-80.73,77.0,78,75,8.05
127,Trairi,BR,2021-01-02 00:50:53,-3.28,-39.27,80.08,80,100,10.47
128,Kaohsiung,TW,2021-01-02 00:50:54,22.62,120.31,59.0,72,20,2.24
129,Atbasar,KZ,2021-01-02 00:50:54,51.8,68.33,-16.98,87,31,4.99
130,Shache,CN,2021-01-02 00:50:03,38.42,77.24,13.64,83,0,0.4
131,Souillac,MU,2021-01-02 00:50:54,-20.52,57.52,77.0,73,75,12.75
132,San Isidro,PE,2021-01-02 00:50:55,-12.12,-77.05,69.8,83,75,14.99
133,Akcakoca,TR,2021-01-02 00:50:55,41.09,31.12,51.19,72,0,4.27
134,Otane,NZ,2021-01-02 00:50:55,-39.88,176.63,80.4,37,12,4.21
135,Bethel,US,2021-01-02 00:50:55,41.37,-73.41,33.8,74,90,3.36
136,Padang,ID,2021-01-02 00:50:55,-0.95,100.35,75.2,94,40,4.7
137,Neryungri,RU,2021-01-02 00:50:56,56.67,124.65,-24.79,83,100,6.2
138,Kirakira,SB,2021-01-02 00:50:56,-10.45,161.92,85.8,61,48,6.33
139,Cidreira,BR,2021-01-02 00:50:56,-30.18,-50.21,70.59,63,0,13.91
140,Mantua,IT,2021-01-02 00:50:56,45.17,10.78,43.0,93,100,5.01
141,Pueblo Nuevo,MX,2021-01-02 00:50:56,23.38,-105.38,37.74,75,0,1.03
142,Faanui,PF,2021-01-02 00:50:57,-16.48,-151.75,81.05,75,29,19.71
143,Puerto Ayora,EC,2021-01-02 00:50:57,-0.74,-90.35,73.0,92,34,3.0
144,Cleethorpes,GB,2021-01-02 00:50:57,53.56,-0.03,37.4,100,81,6.93
145,Caohai,CN,2021-01-02 00:50:57,26.87,104.28,34.77,89,96,6.11
146,Nchelenge,ZM,2021-01-02 00:50:58,-9.35,28.73,68.76,89,100,4.7
147,Half Moon Bay,US,2021-01-02 00:47:28,37.46,-122.43,57.2,93,75,2.91
148,Luderitz,NA,2021-01-02 00:50:58,-26.65,15.16,64.4,59,87,5.82
149,Sao Caetano De Odivelas,BR,2021-01-02 00:50:58,-0.75,-48.02,76.26,91,100,6.06
150,Tahoua,NE,2021-01-02 00:50:59,14.89,5.27,69.8,19,0,2.24
151,Ponta Do Sol,PT,2021-01-02 00:50:59,32.67,-17.1,59.0,67,75,6.93
152,Merauke,ID,2021-01-02 00:50:59,-8.47,140.33,83.35,78,100,11.83
153,Nazarovo,RU,2021-01-02 00:50:59,56.01,90.39,-22.54,87,34,2.42
154,Sorland,NO,2021-01-02 00:50:59,67.67,12.69,40.55,69,26,9.28
155,San Patricio,US,2021-01-02 00:51:00,28.02,-97.52,57.2,62,75,4.7
156,Pemba,MZ,2021-01-02 00:51:00,-12.97,40.52,78.8,88,40,5.82
157,Talaya,RU,2021-01-02 00:51:00,61.38,152.75,-25.08,83,100,4.56
158,Veraval,IN,2021-01-02 00:51:00,20.9,70.37,62.76,45,1,13.62
159,Pangody,RU,2021-01-02 00:50:45,65.85,74.49,-28.75,84,5,5.46
160,East London,ZA,2021-01-02 00:51:01,-33.02,27.91,65.34,63,98,5.99
161,Providencia,MX,2021-01-02 00:51:01,28.72,-111.58,63.0,53,8,4.0
162,Mareeba,AU,2021-01-02 00:47:43,-17.0,145.43,88.0,74,100,2.24
163,Broken Hill,AU,2021-01-02 00:51:02,-31.95,141.43,80.6,51,75,14.99
